titulo,url,data,adicoes,delecoes,tags
fix(anthropic): support eager_input_streaming,https://github.com/langchain-ai/langchain/pull/35779,2026-03-12,28,8,"integration, fix, anthropic, internal, size: XS"
chore(langchain): add baseten to `_BUILTIN_PROVIDERS`,https://github.com/langchain-ai/langchain/pull/35777,2026-03-12,2,0,"langchain, infra, internal"
chore: bump tornado from 6.5.2 to 6.5.5 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35776,2026-03-12,19,26,"integration, infra, dependencies, huggingface, python:uv, internal"
chore: bump tornado from 6.5.2 to 6.5.5 in /libs/core,https://github.com/langchain-ai/langchain/pull/35775,2026-03-12,14,16,"core, infra, dependencies, python:uv, internal, size: XS"
chore: bump tornado from 6.5.2 to 6.5.5 in /libs/text-splitters,https://github.com/langchain-ai/langchain/pull/35774,2026-03-12,14,16,"infra, text-splitters, dependencies, python:uv, internal"
chore: bump tornado from 6.5.2 to 6.5.5 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35773,2026-03-12,13,15,"infra, dependencies, langchain-classic, python:uv, internal, size: XS"
release(langchain): 1.2.12,https://github.com/langchain-ai/langchain/pull/35770,2026-03-11,8,8,"langchain, release, dependencies, internal, size: XS"
feat: tracing for wrap model + tool call,https://github.com/langchain-ai/langchain/pull/35765,2026-03-11,41,6,"langchain, feature, internal, size: XS"
fix(openai): typo,https://github.com/langchain-ai/langchain/pull/35763,2026-03-11,1,1,"integration, fix, openai, external, size: XS, missing-issue-link"
ci: allow bot bypass,https://github.com/langchain-ai/langchain/pull/35762,2026-03-11,19,3,"infra, github_actions, internal, size: XS"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35754,2026-03-11,1,1,"integration, infra, openai, bot, size: XS, missing-issue-link"
fix(openai): close PIL Image handles in token counting to prevent fd leak,https://github.com/langchain-ai/langchain/pull/35742,2026-03-12,4,3,"integration, fix, anthropic, openai, external, size: XS"
chore: add reference docs MCP,https://github.com/langchain-ai/langchain/pull/35737,2026-03-11,5,1,"infra, internal, size: XS"
release(langchain_v1): 1.2.11,https://github.com/langchain-ai/langchain/pull/35723,2026-03-10,20,20,"langchain, release, dependencies, langchain-classic, internal, size: XS"
ci: bypass issue-link gate for trusted contributors,https://github.com/langchain-ai/langchain/pull/35720,2026-03-10,116,51,"infra, github_actions, size: S"
docs(huggingface): add [full] install guidance and sentence-transformers>=5.2.0 migration note,https://github.com/langchain-ai/langchain/pull/35713,2026-03-10,16,0,"documentation, integration, huggingface, external, size: XS"
ci: use app token for external PR label to trigger downstream workflows,https://github.com/langchain-ai/langchain/pull/35710,2026-03-10,4,1,"github_actions, internal, size: XS"
fix(openai): bump min core version,https://github.com/langchain-ai/langchain/pull/35705,2026-03-09,2,2,"integration, dependencies, openai, size: XS"
release(core): 1.2.18,https://github.com/langchain-ai/langchain/pull/35704,2026-03-09,4,4,"core, release, dependencies, internal, size: XS"
release(openai): 1.1.11,https://github.com/langchain-ai/langchain/pull/35703,2026-03-09,5,5,"integration, release, dependencies, openai, internal, size: XS"
ci: auto-reopen external PRs after issue link requirement is satisfied,https://github.com/langchain-ai/langchain/pull/35699,2026-03-09,23,20,"infra, github_actions, internal, size: XS"
ci: update PR template,https://github.com/langchain-ai/langchain/pull/35698,2026-03-09,5,3,"infra, internal, size: XS"
ci: auto-close external PRs failing `issue-link` check,https://github.com/langchain-ai/langchain/pull/35697,2026-03-09,22,10,"infra, github_actions, internal"
fix(openai): add type: message to Responses API input items,https://github.com/langchain-ai/langchain/pull/35693,2026-03-15,74,5,"integration, langchain, openai, external"
ci: require PR author is assigned to linked issue,https://github.com/langchain-ai/langchain/pull/35692,2026-03-09,78,23,"infra, github_actions, internal, size: S"
ci(infra): require issue link for external PRs,https://github.com/langchain-ai/langchain/pull/35690,2026-03-09,215,3,"infra, github_actions, internal, size: M"
"ci: add contributor tier labels, PR size labels, and backfill job",https://github.com/langchain-ai/langchain/pull/35687,2026-03-09,339,1,"infra, github_actions, internal"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35681,2026-03-09,42,0,"integration, infra, xai, external, bot"
fix(anthropic): move _make_message_chunk_from_anthropic_event to instance method,https://github.com/langchain-ai/langchain/pull/35670,2026-03-08,188,184,"integration, fix, anthropic, internal"
fix(core): fix double backticks in deprecation docstring for alternative_import,https://github.com/langchain-ai/langchain/pull/35658,2026-03-08,1,1,"core, fix, external"
fix(langchain): normalize custom detector output to prevent KeyError in hash/mask strategies,https://github.com/langchain-ai/langchain/pull/35651,2026-03-08,71,1,"langchain, fix, external"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35646,2026-03-08,61,1,"integration, infra, deepseek, external, openrouter, bot"
chore: add language policy,https://github.com/langchain-ai/langchain/pull/35639,2026-03-08,5,2,"infra, internal"
chore: link to contributing in `libs/`,https://github.com/langchain-ai/langchain/pull/35637,2026-03-08,4,16,"infra, internal"
